iter	MultiClass
0	3.133656307
1	3.022610618
2	2.936058996
3	2.866130725
4	2.749242169
5	2.668597832
6	2.591767284
7	2.532191442
8	2.46416643
9	2.421767284
10	2.331111649
11	2.281579292
12	2.243110735
13	2.201345942
14	2.15280918
15	2.108519462
16	2.05884122
17	2.015366511
18	1.990739902
19	1.950844165
20	1.926850994
21	1.896900645
22	1.85576143
23	1.826981031
24	1.79119715
25	1.774107955
26	1.740971651
27	1.708570857
28	1.679597299
29	1.658802599
30	1.63296317
31	1.603435224
32	1.586236813
33	1.569632135
34	1.54763646
35	1.524269536
36	1.502236221
37	1.484248784
38	1.463802949
39	1.440222324
40	1.421237729
41	1.402351684
42	1.387584866
43	1.369855664
44	1.351243335
45	1.336017188
46	1.327103825
47	1.31236207
48	1.294752748
49	1.281598589
50	1.266924365
51	1.254508049
52	1.241381017
53	1.22839003
54	1.2182388
55	1.20642189
56	1.195148825
57	1.177958326
58	1.16494606
59	1.153701532
60	1.141921806
61	1.127111536
62	1.12100204
63	1.108817857
64	1.097613185
65	1.088173726
66	1.076135204
67	1.067204082
68	1.057555479
69	1.046167513
70	1.03521227
71	1.029011937
72	1.022151703
73	1.014606313
74	1.007544225
75	0.9961374732
76	0.9822354938
77	0.9712433836
78	0.9645162678
79	0.9552929742
80	0.9461210366
81	0.9385361942
82	0.9292841479
83	0.9217630392
84	0.9141528523
85	0.9082013763
86	0.9039244956
87	0.8953959375
88	0.8857986545
89	0.8775351547
90	0.8717568195
91	0.8653408478
92	0.8600191743
93	0.8540458409
94	0.8430911743
95	0.8351641121
96	0.8280443264
97	0.822550342
98	0.8162100886
99	0.8096689586
100	0.8037470907
101	0.7985116259
102	0.7940202147
103	0.7871566931
104	0.7818633412
105	0.7766173382
106	0.7719663857
107	0.7674233836
108	0.7630117863
109	0.7563086756
110	0.7513989838
111	0.7462819555
112	0.7401648537
113	0.7339749981
114	0.7286542578
115	0.7216062712
116	0.7168323284
117	0.7125397968
118	0.7079363272
119	0.7031641738
120	0.6994812841
121	0.6946539622
122	0.6897205019
123	0.684627421
124	0.6808684593
125	0.6764617318
126	0.6735200696
127	0.6685643741
128	0.6641575828
129	0.6607033406
130	0.6565083277
131	0.6505245024
132	0.6466395766
133	0.6426181628
134	0.6393670039
135	0.6352140619
136	0.6313540209
137	0.6277399658
138	0.6245508497
139	0.619758934
140	0.6159062018
141	0.6094210663
142	0.6032904451
143	0.6000386867
144	0.5977139105
145	0.5936859647
146	0.5898737773
147	0.5865455812
148	0.5833953315
149	0.5792598083
150	0.5765466869
151	0.574552877
152	0.5718183883
153	0.5669001479
154	0.5633723187
155	0.5609222626
156	0.5586002546
157	0.556927395
158	0.5547005891
159	0.5520004066
160	0.54938377
161	0.546552263
162	0.5432098691
163	0.5380879368
164	0.5357263102
165	0.5314593978
166	0.5292978894
167	0.5269167147
168	0.5249568206
169	0.52190908
170	0.5199373336
171	0.5167954051
172	0.5141131677
173	0.5105638045
174	0.5076000673
175	0.5053070135
176	0.5026216923
177	0.5003233886
178	0.4983477649
179	0.4950337197
180	0.4933804871
181	0.4902277244
182	0.4878908968
183	0.4840317269
184	0.4807223388
185	0.4791643403
186	0.4760949224
187	0.4746917638
188	0.4713342055
189	0.4700349294
190	0.467572811
191	0.464211895
192	0.4616038743
193	0.4601263837
194	0.4576979627
195	0.4553898414
196	0.4532099082
197	0.45088473
198	0.4484383835
199	0.4459683849
200	0.4432546132
201	0.4406356596
202	0.4392898281
203	0.4373690268
204	0.4349774437
205	0.4336643642
206	0.4307767951
