iter	Passed	Remaining
0	22	22956
1	42	21179
2	64	21582
3	85	21283
4	106	21198
5	126	20874
6	145	20626
7	164	20447
8	184	20363
9	205	20299
10	230	20706
11	257	21208
12	278	21136
13	300	21132
14	320	21028
15	341	21009
16	363	21034
17	386	21101
18	408	21072
19	429	21048
20	449	20936
21	469	20883
22	490	20849
23	511	20803
24	533	20792
25	553	20719
26	573	20668
27	593	20617
28	613	20535
29	634	20530
30	659	20608
31	678	20520
32	698	20479
33	722	20532
34	744	20522
35	764	20482
36	785	20446
37	805	20386
38	825	20342
39	844	20271
40	902	21117
41	909	20737
42	932	20756
43	951	20682
44	971	20613
45	991	20557
46	1014	20560
47	1033	20504
48	1052	20427
49	1077	20464
50	1096	20398
51	1116	20354
52	1136	20314
53	1157	20275
54	1177	20231
55	1198	20198
56	1217	20145
57	1239	20128
58	1262	20140
59	1284	20123
60	1306	20111
61	1328	20100
62	1349	20077
63	1371	20062
64	1393	20047
65	1417	20059
66	1439	20043
67	1459	20001
68	1479	19965
69	1500	19930
70	1520	19894
71	1539	19841
72	1562	19843
73	1585	19834
74	1605	19800
75	1625	19757
76	1644	19712
77	1663	19663
78	1686	19657
79	1709	19661
80	1733	19662
81	1754	19642
82	1775	19612
83	1795	19576
84	1814	19536
85	1835	19510
86	1855	19468
87	1876	19443
88	1886	19314
89	1909	19303
90	1933	19311
91	1954	19291
92	1975	19269
93	1997	19250
94	2016	19213
95	2036	19177
96	2057	19152
97	2077	19124
98	2099	19107
99	2119	19079
100	2140	19049
101	2163	19046
102	2185	19028
103	2206	19010
104	2227	18987
105	2248	18964
106	2270	18949
107	2291	18927
108	2315	18927
109	2337	18913
110	2361	18911
111	2383	18898
112	2405	18879
113	2427	18866
114	2449	18851
115	2472	18838
116	2495	18831
117	2517	18817
118	2537	18789
119	2560	18778
120	2585	18779
121	2607	18764
122	2629	18745
123	2649	18718
124	2671	18698
125	2694	18687
126	2715	18668
127	2737	18651
128	2759	18630
129	2782	18620
130	2804	18603
131	2827	18593
132	2849	18575
133	2873	18569
134	2899	18575
135	2920	18556
136	2943	18539
137	2966	18532
138	2987	18505
139	3007	18476
140	3027	18447
141	3050	18430
142	3069	18398
143	3089	18365
144	3111	18348
145	3131	18318
146	3151	18287
147	3171	18257
148	3192	18235
149	3214	18213
150	3238	18206
151	3258	18177
152	3277	18142
153	3296	18111
154	3316	18081
155	3340	18070
156	3360	18043
157	3382	18026
158	3404	18005
159	3424	17976
160	3443	17943
161	3464	17919
162	3485	17897
163	3505	17870
164	3525	17841
165	3545	17814
166	3566	17787
167	3585	17756
168	3606	17732
169	3626	17703
170	3648	17685
171	3669	17664
172	3689	17635
173	3708	17602
174	3728	17579
175	3752	17567
176	3772	17539
177	3792	17512
178	3813	17488
179	3835	17471
180	3854	17442
181	3876	17423
182	3896	17395
183	3916	17368
184	3936	17341
185	3956	17315
186	3976	17289
187	3997	17267
188	4019	17246
189	4040	17227
190	4061	17203
191	4082	17181
192	4105	17167
193	4125	17139
194	4145	17112
195	4166	17089
196	4189	17075
197	4212	17064
198	4234	17045
199	4254	17018
200	4274	16993
201	4295	16967
202	4314	16940
203	4334	16912
204	4354	16885
205	4374	16859
206	4394	16834
207	4414	16807
208	4436	16789
209	4456	16765
210	4477	16743
211	4497	16716
212	4517	16692
213	4538	16668
214	4559	16646
215	4578	16618
216	4597	16590
217	4617	16563
218	4636	16535
219	4659	16520
220	4680	16497
221	4701	16476
222	4720	16449
223	4740	16423
224	4764	16409
225	4783	16383
226	4805	16364
227	4827	16345
228	4846	16315
229	4866	16290
230	4886	16266
231	4908	16249
232	4931	16234
233	4951	16209
234	4972	16186
235	4991	16158
236	5000	16098
237	5019	16071
238	5039	16046
239	5060	16025
240	5081	16002
241	5101	15977
242	5122	15956
243	5142	15933
244	5161	15906
245	5182	15885
246	5203	15862
247	5224	15841
248	5248	15830
249	5269	15809
250	5290	15786
251	5310	15762
252	5331	15741
253	5351	15716
254	5372	15696
255	5391	15669
256	5412	15648
257	5432	15624
258	5454	15605
259	5475	15585
260	5496	15561
261	5516	15538
262	5537	15517
263	5559	15500
264	5582	15484
265	5602	15459
266	5625	15444
267	5645	15418
268	5667	15401
269	5687	15377
270	5707	15353
271	5732	15343
272	5754	15324
273	5775	15302
274	5796	15282
275	5819	15265
276	5839	15241
277	5861	15222
278	5881	15199
279	5902	15178
280	5924	15159
281	5946	15139
282	5966	15117
283	5987	15094
284	6008	15073
285	6027	15047
286	6046	15022
287	6065	14994
288	6086	14975
289	6107	14953
290	6128	14932
291	6149	14911
292	6171	14892
293	6195	14876
294	6217	14859
295	6239	14840
296	6259	14816
297	6282	14799
298	6305	14784
299	6327	14764
300	6348	14743
301	6369	14721
302	6390	14700
303	6410	14676
304	6430	14652
305	6450	14629
306	6470	14606
307	6492	14586
308	6512	14564
309	6532	14541
310	6555	14523
311	6578	14506
312	6597	14481
313	6619	14460
314	6639	14438
315	6660	14416
316	6680	14392
317	6699	14368
318	6719	14344
319	6739	14321
320	6760	14300
321	6783	14284
322	6807	14268
323	6827	14245
324	6848	14223
325	6867	14198
326	6887	14175
327	6907	14152
328	6929	14132
329	6949	14109
330	6973	14094
331	6996	14077
332	7016	14054
333	7037	14032
334	7057	14009
335	7077	13986
336	7101	13970
337	7122	13949
338	7142	13927
339	7165	13909
340	7186	13888
341	7208	13868
342	7230	13848
343	7250	13827
344	7271	13805
345	7292	13783
346	7314	13764
347	7334	13742
348	7355	13720
349	7376	13698
350	7397	13677
351	7419	13658
352	7439	13636
353	7459	13612
354	7483	13595
355	7503	13574
356	7524	13552
357	7545	13530
358	7567	13512
359	7586	13487
360	7607	13466
361	7629	13446
362	7650	13425
363	7673	13407
364	7695	13387
365	7713	13361
366	7734	13339
367	7758	13324
368	7777	13300
369	7796	13274
370	7817	13254
371	7842	13240
372	7862	13216
373	7885	13198
374	7907	13179
375	7926	13154
376	7945	13130
377	7966	13108
378	7986	13086
379	8007	13064
380	8028	13043
381	8049	13022
382	8069	12999
383	8089	12976
384	8109	12954
385	8129	12931
386	8150	12909
387	8170	12887
388	8195	12872
389	8216	12850
390	8236	12827
391	8256	12805
392	8277	12784
393	8296	12760
394	8316	12737
395	8338	12718
